,theta,p,pT,y,xsect_pT_y,error,log10theta,log10p,E,xsect_p_theta,xsect_log10theta_log10p,xsect_pT2_y
1303,2.3952689138420964e-06,105.48203888397265,0.00025265784870722135,3.794049822818701,872.7291138879383,2956.66,-5.620645721814481,2.023178515769678,105.58893420770909,871.8455870121035,1.1678948544003052,1727096.78
1304,3.2048352165289827e-06,105.48203888397265,0.0003380525529260564,3.7940498216996956,1160.6737256522124,2956.67,-5.49419429575264,2.023178515769678,105.58893420770909,1159.498691595974,2.078192917086029,1716706.05
1305,4.288023238538737e-06,105.48203888397265,0.00045230943398153525,3.794049819696512,1543.5769289045581,2956.66,-5.367742869690801,2.023178515769678,105.58893420770909,1542.0142542098522,3.697902121480344,1706328.47
1306,5.7373131696183086e-06,105.48203888397265,0.0006051834908438867,3.794049816110254,2052.742870356842,2956.67,-5.241291443628961,2.023178515769678,105.58893420770909,2050.664730111172,6.579806340693213,1695967.34
1307,7.676442168138276e-06,105.48203888397265,0.0008097267712621764,3.794049809690237,2729.7381137905986,2956.66,-5.114840017567121,2.023178515769678,105.58893420770909,2726.9746022391387,11.707144228020896,1685592.11
1308,1.0270968765104371e-05,105.48203888397265,0.0010834027266377593,3.7940497981971197,3629.8615738563317,2956.66,-4.988388591505281,2.023178515769678,105.58893420770909,3626.1868021487912,20.829146500776268,1675213.42
1309,1.3742407884163602e-05,105.48203888397265,0.001449577202751131,3.794049777621942,4826.644803619585,2956.66,-4.861937165443441,2.023178515769678,105.58893420770909,4821.758441590126,37.057675770190876,1664845.72
1310,1.8387143294248238e-05,105.48203888397265,0.001939513363819782,3.7940497407882665,6417.742970064114,2956.66,-4.735485739381602,2.023178515769678,105.58893420770909,6411.245824150199,65.9274962920676,1654472.48
1311,2.4601732198097645e-05,105.48203888397265,0.002595040872071045,3.794049674848418,8533.004780008316,2956.65,-4.6090343133197615,2.023178515769678,105.58893420770909,8524.366201399223,117.28370537910651,1644098.34
1312,3.291676240627562e-05,105.48203888397265,0.0034721272114462375,3.7940495568024843,11345.038306048096,2956.67,-4.482582887257922,2.023178515769678,105.58893420770909,11333.552902282758,208.63784200544399,1633730.22
1313,4.4042152747073056e-05,105.48203888397265,0.004645656067098751,3.7940493454761746,15083.05814988113,2956.67,-4.356131461196082,2.023178515769678,105.58893420770909,15067.788477959872,371.1316110936351,1623350.71
1314,5.892776436077148e-05,105.48203888397265,0.006215820728051088,3.7940489671589392,20051.911835370243,2956.65,-4.229680035134242,2.023178515769678,105.58893420770909,20031.61183307114,660.1547522933932,1612973.79
1315,7.884449773607815e-05,105.48203888397265,0.00831667836736758,3.7940482898940053,26656.628980102712,2956.64,-4.103228609072403,2.023178515769678,105.58893420770909,26629.642544393977,1174.2122880932218,1602600.69
1316,0.00010549279937374939,105.48203888397265,0.011127595544881623,3.7940470774530675,35435.148116587734,2956.62,-3.9767771830105625,2.023178515769678,105.58893420770909,35399.27455030928,2088.4643781367668,1592219.45
1317,0.00014114784213556825,105.48203888397265,0.014888562123096085,3.7940449069421294,47102.64502651165,2956.6,-3.8503257569487226,2.023178515769678,105.58893420770909,47054.959608274105,3714.407445316989,1581839.96
1318,0.00018885377445472195,105.48203888397265,0.01992068106200365,3.7940410213052704,62608.557112595205,2956.54,-3.7238743308868827,2.023178515769678,105.58893420770909,62545.173936778156,6605.860024108824,1571446.2
1319,0.00025268362297412315,105.48203888397265,0.026653583460265372,3.7940340652927813,83214.70887259407,2956.46,-3.597422904825043,2.023178515769678,105.58893420770909,83130.46459727001,11747.547129466619,1561041.67
1320,0.0003380870385232187,105.48203888397265,0.035662109464293205,3.7940216128434536,110596.07421605857,2956.3,-3.470971478763203,2.023178515769678,105.58893420770909,110484.10980192736,20889.9901507138,1550610.38
1321,0.00045235557521314213,105.48203888397265,0.04771538674671643,3.7939993211759315,146976.0901529154,2956.0,-3.3445200527013634,2.023178515769678,105.58893420770909,146827.2956143939,37144.68161386429,1540133.07
1322,0.0006052452271469138,105.48203888397265,0.06384249668643323,3.793959416993678,195302.77268795416,2955.46,-3.2180686266395235,2.023178515769678,105.58893420770909,195105.05354939334,66040.4136783214,1529567.16
1323,0.000809809373547601,105.48203888397265,0.08542033449283529,3.7938879882604026,259481.51922114805,2954.53,-3.0916172005776836,2.023178515769678,105.58893420770909,259218.82729032313,117397.6042046106,1518850.99
1324,0.0010835132473112007,105.48203888397265,0.11429116412118714,3.7937601416217124,344669.7768743515,2952.87,-2.9651657745158437,2.023178515769678,105.58893420770909,344320.8427018683,208644.73554472032,1507858.37
1325,0.0014497250778363027,105.48203888397265,0.1529199034660211,3.7935313514403095,457650.73525812774,2949.87,-2.838714348454004,2.023178515769678,105.58893420770909,457187.42228058213,370672.0318949138,1496374.0
1326,0.0019397112185965128,105.48203888397265,0.2046045658802011,3.7931220311383016,607266.5438607287,2944.64,-2.712262922392164,2.023178515769678,105.58893420770909,606651.7639665345,658091.7334873298,1484000.47
1327,0.0025953055990206256,105.48203888397265,0.27375781879040784,3.7923900990169632,804873.1401121895,2935.4,-2.585811496330324,2.023178515769678,105.58893420770909,804058.3087520225,1167040.5355343944,1470045.94
1328,0.00347248141255861,105.48203888397265,0.3662836832664724,3.7910824584091447,1064630.4545903958,2919.6,-2.4593600702684846,2.023178515769678,105.58893420770909,1063552.652091895,2065422.0911396903,1453286.76
1329,0.0046461299837349986,105.48203888397265,0.4900815004072217,3.788750014618586,1403172.8978340435,2893.64,-2.3329086442066447,2.023178515769678,105.58893420770909,1401752.3643065707,3642273.434516333,1431570.97
1330,0.006216454823254445,105.48203888397265,0.6557201060593729,3.784601425415964,1837666.023181079,2852.89,-2.2064572181448048,2.023178515769678,105.58893420770909,1835805.620801404,6382331.682805092,1401257.95
1331,0.00831752678139614,105.48203888397265,0.8773395673838157,3.7772594356265605,2380178.5548018366,2789.67,-2.080005792082965,2.023178515769678,105.58893420770909,2377768.927703361,11060474.238392215,1356475.1
1332,0.01112873071971014,105.48203888397265,1.1738569760558266,3.7643789518374104,3024975.7585549196,2675.02,-1.953554366021125,2.023178515769678,105.58893420770909,3021913.3565576654,18807779.96888098,1288477.14
1333,0.014890080992445138,105.48203888397265,1.5705780640711864,3.7421171608241774,3725929.301680191,2407.65,-1.8271029399592855,2.023178515769678,105.58893420770909,3722157.273655562,30995715.98586311,1186164.95
1334,0.0199227133395273,105.48203888397265,2.1013494073729837,3.7045812644240845,4367769.2247404605,2303.91,-1.7006515138974452,2.023178515769678,105.58893420770909,4363347.415686434,48615882.3951437,1039277.24
1335,0.02665630274344128,105.48203888397265,2.8114281875290237,3.6437009196106693,4752322.096214917,2078.3,-1.5742000878356057,2.023178515769678,105.58893420770909,4747510.976443829,70774332.62912492,845179.35
1336,0.03566574812579499,105.48203888397265,3.761298288456913,3.5503538176242277,4639835.99101887,1687.72,-1.4477486617737654,2.023178515769678,105.58893420770909,4635138.749077131,92453630.59972839,616786.497
1337,0.047720255941557,105.48203888397265,5.031719660812082,3.417269092080257,3895695.0594409523,1096.98,-1.321297235711926,2.023178515769678,105.58893420770909,3891751.165247095,103862248.79491252,387113.683
1338,0.06384901331932882,105.48203888397265,6.730348998061605,3.2424515124251605,2712211.694030635,551.221,-1.1948458096500856,2.023178515769678,105.58893420770909,2709465.9257429764,96749287.90661073,201491.163
1339,0.08542905777463874,105.48203888397265,9.000274346015644,3.0302587921926993,1557993.3636936496,214.222,-1.0683943835882461,2.023178515769678,105.58893420770909,1556416.0941981205,74360315.29914518,86552.5485
1340,0.11430284561740033,105.48203888397265,12.030660175323149,2.789035870409296,756870.5541895919,67.3534,-0.9419429575264058,2.023178515769678,105.58893420770909,756104.3193229957,48333545.58334153,31455.9028
1341,0.1529355567832783,105.48203888397265,16.069142037415702,2.5275589745327633,321095.4287165985,18.0768,-0.8154915314645663,2.023178515769678,105.58893420770909,320770.36056376126,27435481.96950274,9991.05702
1342,0.20462556642641266,105.48203888397265,21.434008563177002,2.2527630575388597,121936.48216907772,4.37215,-0.6890401054027269,2.023178515769678,105.58893420770909,121813.03703882283,13940025.201792674,2844.46285
1343,0.27378605287105134,105.48203888397265,28.52006530857051,1.9691171644053855,42263.85740150794,0.98723,-0.5625886793408865,2.023178515769678,105.58893420770909,42221.0706383572,6464730.960014051,740.94952
1344,0.3663217849841193,105.48203888397265,37.78194623921432,1.6788021268363258,13683.460568710529,0.204922,-0.43613725327904707,2.023178515769678,105.58893420770909,13669.607810764797,2800455.619069173,181.084644
